File: DSP-1001660005246-Y-C06, Raw: 7636466, Trimmed: 7578934, Stitched: 7490263, Aligned: 6983159, Deduplicated: 571855
File: DSP-1001660005246-Y-C07, Raw: 1132407, Trimmed: 1123672, Stitched: 1111226, Aligned: 1057789, Deduplicated: 83451
File: DSP-1001660005246-Y-C08, Raw: 5144075, Trimmed: 5108593, Stitched: 5056296, Aligned: 4804187, Deduplicated: 630650
File: DSP-1001660005246-Y-C09, Raw: 8728818, Trimmed: 8652932, Stitched: 8533235, Aligned: 7958260, Deduplicated: 1024900
File: DSP-1001660005246-Y-C10, Raw: 1217653, Trimmed: 1205896, Stitched: 1187248, Aligned: 1131625, Deduplicated: 161784
File: DSP-1001660005246-Y-C11, Raw: 16275353, Trimmed: 16153323, Stitched: 15984822, Aligned: 15186592, Deduplicated: 1275217
File: DSP-1001660005246-Y-C12, Raw: 3821456, Trimmed: 3793335, Stitched: 3745474, Aligned: 3569844, Deduplicated: 676555
File: DSP-1001660005246-Y-D01, Raw: 12480739, Trimmed: 12407679, Stitched: 12257650, Aligned: 11576092, Deduplicated: 1106023
File: DSP-1001660005246-Y-D02, Raw: 1563257, Trimmed: 1549171, Stitched: 1528104, Aligned: 1455324, Deduplicated: 160497
File: DSP-1001660005246-Y-D03, Raw: 14715632, Trimmed: 14613380, Stitched: 14468194, Aligned: 13726147, Deduplicated: 2385558
File: DSP-1001660005246-Y-D04, Raw: 8815785, Trimmed: 8734224, Stitched: 8623774, Aligned: 8230396, Deduplicated: 850762
File: DSP-1001660005246-Y-D05, Raw: 9744933, Trimmed: 9664701, Stitched: 9542996, Aligned: 8953935, Deduplicated: 860998
File: DSP-1001660005246-Y-D06, Raw: 872469, Trimmed: 866014, Stitched: 855159, Aligned: 815373, Deduplicated: 114293
File: DSP-1001660005246-Y-D07, Raw: 15460409, Trimmed: 15327221, Stitched: 15128659, Aligned: 14323775, Deduplicated: 1095003
File: DSP-1001660005246-Y-D08, Raw: 7875993, Trimmed: 7806918, Stitched: 7712036, Aligned: 7308697, Deduplicated: 933372
File: DSP-1001660005246-Y-D09, Raw: 11268925, Trimmed: 11178615, Stitched: 11018405, Aligned: 10310330, Deduplicated: 1174217
File: DSP-1001660005246-Y-D10, Raw: 730299, Trimmed: 725459, Stitched: 715585, Aligned: 682254, Deduplicated: 99237
File: DSP-1001660005246-Y-D11, Raw: 14296716, Trimmed: 14188580, Stitched: 14026883, Aligned: 13343147, Deduplicated: 1762121
File: DSP-1001660005246-Y-D12, Raw: 9677121, Trimmed: 9592252, Stitched: 9465597, Aligned: 9056234, Deduplicated: 773476
File: DSP-1001660005246-Y-E01, Raw: 15889747, Trimmed: 15755192, Stitched: 15574177, Aligned: 14710974, Deduplicated: 973640
File: DSP-1001660005246-Y-E02, Raw: 2454029, Trimmed: 2435866, Stitched: 2404518, Aligned: 2284555, Deduplicated: 154760
File: DSP-1001660005246-Y-E03, Raw: 3108486, Trimmed: 3027632, Stitched: 2915386, Aligned: 2749200, Deduplicated: 1273360
File: DSP-1001660005246-Y-E04, Raw: 6475102, Trimmed: 6424227, Stitched: 6350310, Aligned: 6037502, Deduplicated: 772889
File: DSP-1001660005246-Y-E05, Raw: 7243517, Trimmed: 7196979, Stitched: 7123982, Aligned: 6706486, Deduplicated: 541925
File: DSP-1001660005246-Y-E06, Raw: 1016074, Trimmed: 1007113, Stitched: 993864, Aligned: 952851, Deduplicated: 103908
File: DSP-1001660005246-Y-E07, Raw: 18000453, Trimmed: 17845186, Stitched: 17616223, Aligned: 16858254, Deduplicated: 1338597
File: DSP-1001660005246-Y-E08, Raw: 12958744, Trimmed: 12842349, Stitched: 12682371, Aligned: 11950049, Deduplicated: 1323046
File: DSP-1001660005246-Y-E09, Raw: 1490239, Trimmed: 1480765, Stitched: 1464231, Aligned: 1395077, Deduplicated: 141274
File: DSP-1001660005246-Y-E10, Raw: 7049473, Trimmed: 7004480, Stitched: 6923391, Aligned: 6529370, Deduplicated: 700377
File: DSP-1001660005246-Y-E11, Raw: 6640088, Trimmed: 6588766, Stitched: 6508911, Aligned: 6097233, Deduplicated: 466179
File: DSP-1001660005246-Y-E12, Raw: 587347, Trimmed: 583857, Stitched: 576393, Aligned: 551062, Deduplicated: 124456
File: DSP-1001660005246-Y-F01, Raw: 12319458, Trimmed: 12218873, Stitched: 12046869, Aligned: 11487201, Deduplicated: 1112020
File: DSP-1001660005246-Y-F02, Raw: 15096992, Trimmed: 14986558, Stitched: 14827512, Aligned: 13957133, Deduplicated: 1148442
File: DSP-1001660005246-Y-F03, Raw: 1444640, Trimmed: 1433130, Stitched: 1413846, Aligned: 1346801, Deduplicated: 111472
File: DSP-1001660005246-Y-F04, Raw: 9881498, Trimmed: 9802182, Stitched: 9693791, Aligned: 9200067, Deduplicated: 744499
File: DSP-1001660005246-Y-F05, Raw: 11474275, Trimmed: 11382027, Stitched: 11240960, Aligned: 10580267, Deduplicated: 939123
File: DSP-1001660005246-Y-F06, Raw: 1283162, Trimmed: 1272270, Stitched: 1255680, Aligned: 1200534, Deduplicated: 90978
File: DSP-1001660005246-Y-F07, Raw: 8670711, Trimmed: 8601012, Stitched: 8502516, Aligned: 8153897, Deduplicated: 735761
File: DSP-1001660005246-Y-F08, Raw: 11806499, Trimmed: 11712277, Stitched: 11569034, Aligned: 11018347, Deduplicated: 1156413
File: DSP-1001660005246-Y-F09, Raw: 12081518, Trimmed: 11992123, Stitched: 11844904, Aligned: 11215768, Deduplicated: 855919
File: DSP-1001660005246-Y-F10, Raw: 2461781, Trimmed: 2443991, Stitched: 2416804, Aligned: 2297411, Deduplicated: 180567
File: DSP-1001660005246-Y-F11, Raw: 19840761, Trimmed: 19671524, Stitched: 19413856, Aligned: 18373234, Deduplicated: 1769230
File: DSP-1001660005246-Y-F12, Raw: 3179954, Trimmed: 3157531, Stitched: 3121804, Aligned: 2951485, Deduplicated: 667281
File: DSP-1001660005246-Y-G01, Raw: 23110706, Trimmed: 22891212, Stitched: 22580755, Aligned: 21162434, Deduplicated: 1838130
File: DSP-1001660005246-Y-G02, Raw: 1636677, Trimmed: 1625710, Stitched: 1605720, Aligned: 1534239, Deduplicated: 156194
File: DSP-1001660005246-Y-G03, Raw: 8481658, Trimmed: 8409017, Stitched: 8311143, Aligned: 7857612, Deduplicated: 984853
File: DSP-1001660005246-Y-G04, Raw: 9299495, Trimmed: 9226934, Stitched: 9117745, Aligned: 8661788, Deduplicated: 914899
File: DSP-1001660005246-Y-G05, Raw: 10070844, Trimmed: 9975363, Stitched: 9843675, Aligned: 9289217, Deduplicated: 1065792
File: DSP-1001660005246-Y-G06, Raw: 2156991, Trimmed: 2142391, Stitched: 2115775, Aligned: 1995256, Deduplicated: 154315
File: DSP-1001660005246-Y-G07, Raw: 14815424, Trimmed: 14706578, Stitched: 14520327, Aligned: 13581043, Deduplicated: 1583884
File: DSP-1001660005246-Y-G08, Raw: 5322151, Trimmed: 5279724, Stitched: 5212624, Aligned: 4942905, Deduplicated: 643514
File: DSP-1001660005246-Y-G09, Raw: 11966747, Trimmed: 11864150, Stitched: 11722636, Aligned: 11008552, Deduplicated: 1172681
File: DSP-1001660005246-Y-G10, Raw: 1771774, Trimmed: 1757844, Stitched: 1733542, Aligned: 1645140, Deduplicated: 163514
File: DSP-1001660005246-Y-G11, Raw: 20602364, Trimmed: 20415233, Stitched: 20167527, Aligned: 19002355, Deduplicated: 1686831
File: DSP-1001660005246-Y-G12, Raw: 5242559, Trimmed: 5201026, Stitched: 5135354, Aligned: 4896847, Deduplicated: 724403
File: DSP-1001660005246-Y-H01, Raw: 17892588, Trimmed: 17725499, Stitched: 17501642, Aligned: 16424976, Deduplicated: 1667934
File: DSP-1001660005246-Y-H02, Raw: 784722, Trimmed: 779242, Stitched: 769260, Aligned: 734226, Deduplicated: 112131
File: DSP-1001660005246-Y-H03, Raw: 5524642, Trimmed: 5474608, Stitched: 5397836, Aligned: 5149635, Deduplicated: 945186
File: DSP-1001660005246-Y-H04, Raw: 8741068, Trimmed: 8693614, Stitched: 8602638, Aligned: 8112053, Deduplicated: 1190229
File: DSP-1001660005246-Y-H05, Raw: 843650, Trimmed: 837438, Stitched: 825867, Aligned: 791341, Deduplicated: 144706
File: DSP-1001660005246-Y-H06, Raw: 6527215, Trimmed: 6481801, Stitched: 6407683, Aligned: 6145128, Deduplicated: 1330480
File: DSP-1001660005246-Y-H07, Raw: 15025231, Trimmed: 14914796, Stitched: 14747455, Aligned: 13974793, Deduplicated: 1655680
File: DSP-1001660005246-Y-H08, Raw: 1340525, Trimmed: 1328479, Stitched: 1308528, Aligned: 1256206, Deduplicated: 129050
File: DSP-1001660005246-Y-H09, Raw: 14241450, Trimmed: 14157001, Stitched: 13962181, Aligned: 13332923, Deduplicated: 1605181
File: DSP-1001660005246-Y-H10, Raw: 7682454, Trimmed: 7613441, Stitched: 7509474, Aligned: 7124249, Deduplicated: 1291516
File: DSP-1001660005246-Y-H11, Raw: 1447379, Trimmed: 1435581, Stitched: 1418364, Aligned: 1360932, Deduplicated: 149485
File: DSP-1001660005246-Y-H12, Raw: 6060841, Trimmed: 6011930, Stitched: 5929734, Aligned: 5669119, Deduplicated: 1261296
